,Exp,group,PID,phase,block,trial,stimulus_id,reward_type,reward_amount,see_reward_rt,zscored_see_reward_rt,register_reward_response,register_reward_rt,zscored_register_reward_rt,register_reward_acc
151,Exp1,d11042021,l6WpQ,reward_learning,2.0,55.0,56.0,1.0,149.0,304.0,-0.47603960142460955,1.0,488.0,-0.0027316421902054905,1
152,Exp1,d11042021,l6WpQ,reward_learning,2.0,56.0,30.0,1.0,152.0,349.0,-0.27956581923732443,1.0,428.0,-0.41247797072105236,1
153,Exp1,d11042021,l6WpQ,reward_learning,2.0,57.0,10.0,1.0,153.0,239.0,-0.7598350645840214,1.0,505.0,0.11336315089353446,1
154,Exp1,d11042021,l6WpQ,reward_learning,2.0,58.0,40.0,-1.0,0.0,243.0,-0.7423707283895961,-1.0,481.0,-0.050535380518804296,1
155,Exp1,d11042021,l6WpQ,reward_learning,2.0,59.0,57.0,1.0,142.0,251.0,-0.7074420560007453,1.0,519.0,0.20897062755073206,1
156,Exp1,d11042021,l6WpQ,reward_learning,2.0,60.0,19.0,-1.0,0.0,268.0,-0.6332186271744377,-1.0,432.0,-0.38516154881899595,1
157,Exp1,d11042021,l6WpQ,reward_learning,2.0,61.0,56.0,1.0,149.0,220.0,-0.8427906615075418,1.0,406.0,-0.5627182911823629,1
158,Exp1,d11042021,l6WpQ,reward_learning,2.0,62.0,30.0,1.0,152.0,243.0,-0.7423707283895961,1.0,496.0,0.051901201613907426,1
159,Exp1,d11042021,l6WpQ,reward_learning,2.0,63.0,43.0,1.0,158.0,271.0,-0.6201203750286186,1.0,356.0,-0.9041735649580687,1
160,Exp1,d11042021,l6WpQ,reward_learning,3.0,64.0,20.0,1.0,150.0,696.0,1.235465345629074,1.0,415.0,-0.5012563419027358,1
161,Exp1,d11042021,l6WpQ,reward_learning,3.0,65.0,38.0,-1.0,0.0,394.0,-0.08309203705003933,-1.0,405.0,-0.569547396657877,1
162,Exp1,d11042021,l6WpQ,reward_learning,3.0,66.0,36.0,-1.0,0.0,285.0,-0.5589951983481299,-1.0,393.0,-0.6514966623640464,1
163,Exp1,d11042021,l6WpQ,reward_learning,3.0,67.0,43.0,1.0,158.0,303.0,-0.4804056854732159,1.0,491.0,0.017755674236336855,1
164,Exp1,d11042021,l6WpQ,reward_learning,3.0,68.0,10.0,1.0,153.0,380.0,-0.14421721373052804,1.0,463.0,-0.17345927907805836,1
165,Exp1,d11042021,l6WpQ,reward_learning,3.0,69.0,20.0,1.0,150.0,333.0,-0.3494231640150258,1.0,388.0,-0.685642189741617,1
166,Exp1,d11042021,l6WpQ,reward_learning,3.0,70.0,0.0,1.0,160.0,291.0,-0.5327986940564919,1.0,378.0,-0.7539332444967581,1
167,Exp1,d11042021,l6WpQ,reward_learning,3.0,71.0,43.0,1.0,158.0,318.0,-0.4149144247441208,1.0,353.0,-0.924660881384611,1
168,Exp1,d11042021,l6WpQ,reward_learning,3.0,72.0,19.0,-1.0,0.0,290.0,-0.5371647781050982,-1.0,407.0,-0.5558891857068488,1
