"","PID","chosen_obj","Exp","condition","reward_type","unchosen_obj","rating_chosen","rating_unchosen","zscored_rating_chosen","zscored_rating_unchosen","reward","memory_score_chosen","memory_score_unchosen"
"974","bYAJA",53,"Exp1",1,1,24,50,50,0.279798785841617,0.279798785841617,154,0.5,0.5
"975","bYAJA",8,"Exp1",0,0,33,50,45,0.279798785841617,0.113251889507321,0,1,1
"976","bYAJA",9,"Exp1",0,0,46,27,50,-0.486316937296144,0.279798785841617,0,0,0.5
"977","BYbTS",1,"Exp1",1,1,0,84,30,0.985898302324596,-0.833185125654727,148,0.5,0.5
"978","BYbTS",12,"Exp1",0,1,44,67,31,0.413223889812587,-0.799498395506962,145,1,0.5
"979","BYbTS",17,"Exp1",0,1,59,70,50,0.514284080255883,-0.159450522699422,142,1,1
"980","BYbTS",18,"Exp1",0,0,16,50,31,-0.159450522699422,-0.799498395506962,0,0.5,1
"981","BYbTS",19,"Exp1",0,1,13,68,26,0.446910619960352,-0.967932046245788,150,0,0.5
"982","BYbTS",28,"Exp1",1,1,25,59,28,0.143730048630465,-0.900558585950258,159,0.5,0.5
"983","BYbTS",3,"Exp1",0,1,58,65,50,0.345850429517057,-0.159450522699422,146,1,1
"984","BYbTS",31,"Exp1",0,0,20,67,72,0.413223889812587,0.581657540551413,0,1,0.5
"985","BYbTS",32,"Exp1",1,1,22,31,50,-0.799498395506962,-0.159450522699422,148,0.5,0
"986","BYbTS",33,"Exp1",1,0,30,79,30,0.81746465158577,-0.833185125654727,0,0.5,0.5
"987","BYbTS",39,"Exp1",1,0,46,50,30,-0.159450522699422,-0.833185125654727,0,1,1
"988","BYbTS",42,"Exp1",1,1,24,80,50,0.851151381733535,-0.159450522699422,158,0,0.5
"989","BYbTS",47,"Exp1",1,0,34,86,29,1.05327176262013,-0.866871855802493,0,0.5,0.5
